#{"t_start": 1782319033.946901, "env_id": "None"}
r,l,t
2910.0,1000,1.953403
4533.0,1000,2.915138
579.0,1000,3.711037
4487.0,1000,4.576974
4384.0,1000,5.884322
3785.0,1000,7.270154
2586.0,1000,8.712294
3712.0,1000,10.138564
3222.0,1000,11.618408
2157.0,1000,13.242619
