#{"t_start": 1782318675.7147577, "env_id": "None"}
r,l,t
3739.0,1000,3.087917
4259.0,1000,3.773471
2665.0,1000,4.41707
3657.0,1000,5.056894
3731.0,1000,6.021838
4450.0,1000,7.131097
3868.0,1000,8.148983
4081.0,1000,9.202645
4371.0,1000,10.062727
3243.0,1000,10.795906
