#{"t_start": 1782319832.593457, "env_id": "None"}
r,l,t
802.0,1000,1.805851
609.0,1000,2.738662
829.0,1000,3.71806
600.0,1000,4.755144
597.0,1000,5.860626
716.0,1000,6.78703
736.0,1000,7.951694
828.0,1000,9.325263
701.0,1000,10.746129
626.0,1000,12.105184
