Episode,Throughput,Latency,Fairness
1,23000.0,0.0,0.06666666666666667
2,12000.0,75000.0,0.06666666666666667
3,15000.0,80000.0,0.06666666666666667
4,7000.0,93000.0,0.06666666666666667
5,14000.0,67000.0,0.06666666666666667
6,12000.0,16000.0,0.06666666666666667
7,8000.0,56000.0,0.06666666666666667
8,26000.0,32000.0,0.06666666666666667
9,6000.0,52000.0,0.06666666666666667
10,17000.0,45000.0,0.06666666666666667
11,25000.0,66000.0,0.06666666666666667
12,27000.0,18000.0,0.06666666666666667
13,29000.0,48000.0,0.06666666666666667
14,17000.0,10000.0,0.06666666666666667
15,24000.0,69000.0,0.06666666666666667
16,11000.0,10000.0,0.06666666666666667
17,7000.0,81000.0,0.06666666666666667
18,8000.0,90000.0,0.06666666666666667
19,24000.0,30000.0,0.06666666666666667
20,11000.0,69000.0,0.06666666666666667
21,13000.0,77000.0,0.06666666666666667
22,18000.0,64000.0,0.06666666666666667
23,21000.0,25000.0,0.06666666666666667
24,25000.0,60000.0,0.06666666666666667
25,30000.0,34000.0,0.06666666666666667
26,24000.0,67000.0,0.06666666666666667
27,21000.0,65000.0,0.06666666666666667
28,8000.0,65000.0,0.06666666666666667
29,16000.0,0.0,0.06666666666666667
30,30000.0,12000.0,0.06666666666666667
31,27000.0,59000.0,0.06666666666666667
32,26000.0,72000.0,0.06666666666666667
33,13000.0,65000.0,0.06666666666666667
34,24000.0,62000.0,0.06666666666666667
35,16000.0,70000.0,0.06666666666666667
36,24000.0,45000.0,0.06666666666666667
37,10000.0,61000.0,0.06666666666666667
38,27000.0,56000.0,0.06666666666666667
39,21000.0,75000.0,0.06666666666666667
40,13000.0,36000.0,0.06666666666666667
41,13000.0,27000.0,0.06666666666666667
42,17000.0,57000.0,0.06666666666666667
43,27000.0,71000.0,0.06666666666666667
44,21000.0,3000.0,0.06666666666666667
45,23000.0,71000.0,0.06666666666666667
46,6000.0,0.0,0.06666666666666667
47,11000.0,59000.0,0.06666666666666667
48,23000.0,55000.0,0.06666666666666667
49,12000.0,1000.0,0.06666666666666667
50,12000.0,21000.0,0.06666666666666667
51,29000.0,32000.0,0.06666666666666667
52,8000.0,85000.0,0.06666666666666667
53,6000.0,83000.0,0.06666666666666667
54,14000.0,45000.0,0.06666666666666667
55,16000.0,30000.0,0.06666666666666667
56,20000.0,66000.0,0.06666666666666667
57,5000.0,78000.0,0.06666666666666667
58,8000.0,0.0,0.06666666666666667
59,22000.0,45000.0,0.06666666666666667
60,15000.0,73000.0,0.06666666666666667
61,7000.0,68000.0,0.06666666666666667
62,30000.0,46000.0,0.06666666666666667
63,8000.0,0.0,0.06666666666666667
64,20000.0,61000.0,0.06666666666666667
65,28000.0,71000.0,0.06666666666666667
66,17000.0,38000.0,0.06666666666666667
67,13000.0,67000.0,0.06666666666666667
68,22000.0,51000.0,0.06666666666666667
69,21000.0,56000.0,0.06666666666666667
70,23000.0,64000.0,0.06666666666666667
71,8000.0,63000.0,0.06666666666666667
72,27000.0,30000.0,0.06666666666666667
73,29000.0,70000.0,0.06666666666666667
74,26000.0,47000.0,0.06666666666666667
75,30000.0,40000.0,0.06666666666666667
76,23000.0,75000.0,0.06666666666666667
77,12000.0,67000.0,0.06666666666666667
78,14000.0,45000.0,0.06666666666666667
79,18000.0,40000.0,0.06666666666666667
80,24000.0,69000.0,0.06666666666666667
81,16000.0,29000.0,0.06666666666666667
82,20000.0,79000.0,0.06666666666666667
83,29000.0,57000.0,0.06666666666666667
84,29000.0,70000.0,0.06666666666666667
85,10000.0,16000.0,0.06666666666666667
86,7000.0,0.0,0.06666666666666667
87,18000.0,64000.0,0.06666666666666667
88,21000.0,60000.0,0.06666666666666667
89,29000.0,53000.0,0.06666666666666667
90,12000.0,83000.0,0.06666666666666667
91,19000.0,15000.0,0.06666666666666667
92,1000.0,0.0,0.06666666666666662
93,21000.0,32000.0,0.06666666666666667
94,12000.0,88000.0,0.06666666666666667
95,22000.0,67000.0,0.06666666666666667
96,26000.0,31000.0,0.06666666666666667
97,6000.0,38000.0,0.06666666666666667
98,2000.0,0.0,0.06666666666666665
99,4000.0,0.0,0.06666666666666667
100,25000.0,57000.0,0.06666666666666667
